ymdh,rf
2017012522,0
2017012523,0
2017012524,0
2017012601,0
2017012602,0
2017012603,0
2017012604,0
2017012605,0
2017012606,0
2017012607,0
2017012608,0
2017012609,0
2017012610,0
2017012611,0
2017012612,0
2017012613,0
2017012614,0
2017012615,0
2017012616,0
2017012617,0
2017012618,0
2017012619,0
2017012620,0
2017012621,0
2017012622,0
2017012623,0
2017012624,0
2017012701,0
2017012702,0
2017012703,0
2017012704,0
2017012705,0
2017012706,0
2017012707,0
2017012708,0
2017012709,0
2017012710,0
2017012711,0
2017012712,0
2017012713,0
2017012714,0
2017012715,0
2017012716,0
2017012717,0
2017012718,0
2017012719,0
2017012720,0
2017012721,0
2017012722,0
2017012723,0
2017012724,0
2017012801,0
2017012802,0
2017012803,0
2017012804,0
2017012805,0
2017012806,0
2017012807,0
2017012808,0
2017012809,0
2017012810,0
2017012811,0
2017012812,0
2017012813,0
2017012814,0
2017012815,0
2017012816,0
2017012817,0
2017012818,0
2017012819,0
2017012820,0
2017012821,0
2017012822,0
2017012823,0
2017012824,0
2017012901,0
2017012902,0
2017012903,0
2017012904,0
2017012905,0
2017012906,0
2017012907,0
2017012908,0
2017012909,0
2017012910,0
2017012911,1
2017012912,0
2017012913,0
2017012914,0
2017012915,0
2017012916,0
2017012917,0
2017012918,0
2017012919,0
2017012920,0
2017012921,0
2017012922,0
2017012923,0
2017012924,1
2017013001,0
2017013002,0
2017013003,0
2017013004,0
2017013005,0
2017013006,0
2017013007,0
2017013008,0
2017013009,0
2017013010,0
2017013011,0
2017013012,0
2017013013,0
2017013014,0
2017013015,0
2017013016,0
2017013017,0
2017013018,0
2017013019,0
2017013020,0
2017013021,0
2017013022,0
2017013023,0
2017013024,0
2017013101,0
2017013102,0
2017013103,0
2017013104,0
2017013105,0
2017013106,0
2017013107,0
2017013108,0
2017013109,0
2017013110,0
2017013111,0
2017013112,0
2017013113,0
2017013114,0
2017013115,0
2017013116,0
2017013117,0
2017013118,0
2017013119,0
2017013120,0
2017013121,0
2017013122,0
2017013123,0
2017013124,0
2017020101,0
2017020102,0
2017020103,0
2017020104,0
2017020105,0
2017020106,0
2017020107,0
2017020108,0
2017020109,0
2017020110,0
2017020111,0
2017020112,0
2017020113,0
2017020114,0
2017020115,0
2017020116,0
2017020117,0
2017020118,0
2017020119,0
2017020120,0
2017020121,0
2017020122,0
2017020123,0
2017020124,0
2017020201,0
2017020202,0
2017020203,0
2017020204,0
2017020205,0
2017020206,0
2017020207,0
2017020208,0
2017020209,0
2017020210,0
2017020211,0
2017020212,0
2017020213,0
2017020214,0
2017020215,0
2017020216,0
2017020217,0
2017020218,0
2017020219,0
2017020220,0
2017020221,0
2017020222,0
2017020223,0
2017020224,0
2017020301,0
2017020302,0
2017020303,0
2017020304,0
2017020305,0
2017020306,0
2017020307,0
2017020308,0
2017020309,0
2017020310,0
2017020311,0
2017020312,0
2017020313,0
2017020314,0
2017020315,0
2017020316,0
2017020317,0
2017020318,0
2017020319,0
2017020320,0
2017020321,0
2017020322,0
2017020323,0
2017020324,0
2017020401,0
2017020402,0
2017020403,0
2017020404,0
2017020405,0
2017020406,0
2017020407,0
2017020408,0
2017020409,0
2017020410,0
2017020411,0
2017020412,0
2017020413,0
2017020414,0
2017020415,0
2017020416,0
2017020417,0
2017020418,0
2017020419,0
2017020420,0
2017020421,0
2017020422,0
2017020423,0
2017020424,0
2017020501,0
2017020502,1
2017020503,0
2017020504,0
2017020505,2
2017020506,0
2017020507,0
2017020508,0
2017020509,0
2017020510,0
2017020511,0
2017020512,0
2017020513,0
2017020514,0
2017020515,0
2017020516,0
2017020517,0
2017020518,0
2017020519,0
2017020520,0
2017020521,0
2017020522,0
2017020523,0
2017020524,0
2017020601,0
2017020602,0
2017020603,0
2017020604,0
2017020605,0
2017020606,0
2017020607,0
2017020608,0
2017020609,0
2017020610,0
2017020611,0
2017020612,0
2017020613,0
2017020614,0
2017020615,0
2017020616,0
2017020617,0
2017020618,0
2017020619,0
2017020620,0
2017020621,0
2017020622,0
2017020623,0
2017020624,0
2017020701,0
2017020702,0
2017020703,0
2017020704,0
2017020705,0
2017020706,0
2017020707,0
2017020708,0
2017020709,0
2017020710,0
2017020711,0
2017020712,0
2017020713,0
2017020714,0
2017020715,0
2017020716,0
2017020717,0
2017020718,0
2017020719,0
2017020720,0
2017020721,0
2017020722,0
2017020723,0
2017020724,0
2017020801,0
2017020802,0
2017020803,0
2017020804,0
2017020805,0
2017020806,0
2017020807,0
2017020808,0
2017020809,0
2017020810,0
2017020811,0
2017020812,0
2017020813,0
2017020814,0
2017020815,0
2017020816,0
2017020817,0
2017020818,0
2017020819,0
2017020820,0
2017020821,0
2017020822,0
2017020823,0
2017020824,0
2017020901,0
2017020902,0
2017020903,0
2017020904,0
2017020905,0
2017020906,0
2017020907,0
2017020908,0
2017020909,0
2017020910,0
2017020911,0
2017020912,0
2017020913,0
2017020914,0
2017020915,0
2017020916,0
2017020917,0
2017020918,0
2017020919,0
2017020920,0
2017020921,0
2017020922,0
2017020923,0
2017020924,0
2017021001,0
2017021002,0
2017021003,0
2017021004,0
2017021005,0
2017021006,0
2017021007,0
2017021008,0
2017021009,0
2017021010,0
2017021011,0
2017021012,0
2017021013,0
2017021014,0
2017021015,0
2017021016,0
2017021017,0
2017021018,0
2017021019,0
2017021020,0
2017021021,0
2017021022,0
2017021023,0
2017021024,0
2017021101,0
2017021102,0
2017021103,0
2017021104,0
2017021105,0
2017021106,0
2017021107,0
2017021108,0
2017021109,0
2017021110,0
2017021111,0
2017021112,0
2017021113,0
2017021114,0
2017021115,0
2017021116,0
2017021117,0
2017021118,0
2017021119,0
2017021120,0
2017021121,0
2017021122,0
2017021123,0
2017021124,0
2017021201,0
2017021202,0
2017021203,0
2017021204,0
2017021205,0
2017021206,0
2017021207,0
2017021208,0
2017021209,0
2017021210,0
2017021211,0
2017021212,0
2017021213,0
2017021214,0
2017021215,0
2017021216,0
2017021217,0
2017021218,0
2017021219,0
2017021220,0
2017021221,0
2017021222,0
2017021223,0
2017021224,0
2017021301,0
2017021302,0
2017021303,0
2017021304,0
2017021305,0
2017021306,0
2017021307,0
2017021308,0
2017021309,0
2017021310,0
2017021311,0
2017021312,0
2017021313,0
2017021314,0
2017021315,0
2017021316,0
2017021317,0
2017021318,0
2017021319,0
2017021320,0
2017021321,0
2017021322,0
2017021323,0
2017021324,0
2017021401,0
2017021402,0
2017021403,0
2017021404,0
2017021405,0
2017021406,0
2017021407,0
2017021408,0
2017021409,0
2017021410,0
2017021411,0
2017021412,0
2017021413,0
2017021414,0
2017021415,0
2017021416,0
2017021417,0
2017021418,0
2017021419,0
2017021420,0
2017021421,0
2017021422,0
2017021423,0
2017021424,0
2017021501,0
2017021502,0
2017021503,0
2017021504,0
2017021505,0
2017021506,0
2017021507,0
2017021508,0
2017021509,0
2017021510,0
2017021511,0
2017021512,0
2017021513,0
2017021514,0
2017021515,0
2017021516,0
2017021517,0
2017021518,0
2017021519,0
2017021520,0
2017021521,0
2017021522,0
2017021523,0
2017021524,0
2017021601,0
2017021602,0
2017021603,0
2017021604,0
2017021605,0
2017021606,0
2017021607,0
2017021608,0
2017021609,0
2017021610,0
2017021611,0
2017021612,0
2017021613,0
2017021614,0
2017021615,0
2017021616,0
2017021617,0
2017021618,0
2017021619,0
2017021620,0
2017021621,0
2017021622,0
2017021623,1
2017021624,0
2017021701,0
2017021702,1
2017021703,0
2017021704,0
2017021705,0
2017021706,0
2017021707,0
2017021708,0
2017021709,0
2017021710,0
